                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.076,                 2.8329,                 1.3406,                0.53937,                0.48889,                0.46532,                0.30619,                 1.1726,                 1.7566,                 1.4083,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.1992,                 2.2725,                 1.4289,                0.46792,                0.38596,                 0.3534,                0.21743,                  1.354,                 2.1159,                 1.5702,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.3287,                 2.4919,                 1.5421,                 0.3402,                0.28648,                 0.2182,                0.12028,                 1.5993,                 2.5771,                  1.845,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.4105,                 2.5404,                 1.6104,                0.32985,                0.28299,                0.22043,                0.12268,                 1.6242,                 2.6796,                 1.8792,               0.009604,               0.009604,               0.009604
                      5,                 1.3643,                 2.3722,                 1.5783,                0.46834,                0.37465,                0.35302,                0.21217,                 1.4344,                 2.0553,                 1.6806,               0.009472,               0.009472,               0.009472
                      6,                 1.3309,                 2.2368,                 1.5482,                0.47411,                0.41539,                0.37207,                0.22778,                 1.3932,                 2.0221,                 1.6509,                0.00934,                0.00934,                0.00934
                      7,                 1.3078,                 2.1584,                  1.536,                0.51538,                0.43141,                0.40271,                0.25383,                 1.3434,                 1.8726,                 1.5787,               0.009208,               0.009208,               0.009208
                      8,                 1.2776,                 2.0643,                 1.5164,                0.52455,                0.45275,                0.42958,                0.27464,                 1.3166,                 1.8344,                 1.5692,               0.009076,               0.009076,               0.009076
                      9,                 1.2565,                 2.0108,                 1.4979,                0.56491,                0.46371,                0.45428,                0.29435,                 1.2847,                 1.7323,                  1.536,               0.008944,               0.008944,               0.008944
                     10,                 1.2445,                 1.9738,                 1.4889,                0.55444,                0.46937,                0.45677,                0.30074,                 1.2522,                 1.7078,                 1.5122,               0.008812,               0.008812,               0.008812
                     11,                 1.2351,                 1.9301,                 1.4831,                0.60201,                0.47931,                0.48261,                 0.3219,                 1.2369,                 1.6393,                 1.4912,                0.00868,                0.00868,                0.00868
                     12,                 1.2179,                 1.8932,                 1.4679,                0.58289,                0.48869,                0.48291,                0.32057,                 1.2393,                 1.6408,                 1.4999,               0.008548,               0.008548,               0.008548
                     13,                  1.208,                 1.8759,                 1.4635,                0.59435,                0.49705,                0.48825,                0.32594,                 1.2254,                 1.6119,                  1.488,               0.008416,               0.008416,               0.008416
                     14,                 1.1956,                 1.8392,                 1.4519,                0.57683,                0.51244,                0.49476,                0.33453,                 1.1938,                 1.5708,                  1.457,               0.008284,               0.008284,               0.008284
                     15,                 1.1918,                 1.8202,                 1.4491,                0.60272,                0.51452,                0.50659,                0.34325,                 1.1953,                 1.5374,                 1.4609,               0.008152,               0.008152,               0.008152
                     16,                 1.1769,                 1.7834,                 1.4363,                 0.6291,                0.51071,                0.52127,                0.35501,                 1.1872,                 1.5115,                 1.4503,                0.00802,                0.00802,                0.00802
                     17,                 1.1674,                 1.7777,                 1.4322,                0.62278,                0.51462,                0.52333,                0.36216,                 1.1692,                 1.5074,                 1.4367,               0.007888,               0.007888,               0.007888
                     18,                 1.1609,                 1.7271,                 1.4249,                0.64501,                0.52232,                0.53176,                0.36754,                 1.1599,                 1.4603,                 1.4287,               0.007756,               0.007756,               0.007756
                     19,                 1.1505,                 1.7188,                 1.4182,                0.65037,                0.52671,                0.54513,                0.38009,                 1.1486,                 1.4357,                 1.4168,               0.007624,               0.007624,               0.007624
                     20,                  1.143,                 1.6996,                 1.4122,                0.63984,                0.54207,                0.54896,                0.38291,                 1.1524,                 1.4363,                  1.424,               0.007492,               0.007492,               0.007492
                     21,                  1.135,                 1.6691,                 1.4031,                0.65994,                0.53603,                0.55252,                0.38647,                 1.1385,                 1.3989,                 1.4108,                0.00736,                0.00736,                0.00736
                     22,                 1.1305,                 1.6617,                 1.4002,                0.66083,                0.54905,                0.56193,                0.39779,                 1.1234,                 1.3967,                 1.3968,               0.007228,               0.007228,               0.007228
                     23,                 1.1118,                  1.637,                 1.3919,                0.67433,                0.55238,                0.56592,                0.40222,                 1.1079,                  1.365,                 1.3808,               0.007096,               0.007096,               0.007096
                     24,                 1.1116,                 1.6291,                 1.3857,                0.65314,                0.56131,                0.56178,                0.40023,                 1.1059,                  1.367,                 1.3831,               0.006964,               0.006964,               0.006964
                     25,                 1.1013,                 1.6108,                 1.3846,                0.65128,                0.55705,                0.55956,                0.39888,                 1.1028,                 1.3487,                 1.3801,               0.006832,               0.006832,               0.006832
                     26,                 1.1055,                 1.5983,                 1.3831,                0.67182,                0.55984,                0.56857,                0.40546,                 1.1037,                 1.3353,                 1.3872,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.1046,                 1.5947,                 1.3805,                0.68414,                0.56142,                0.57686,                0.41092,                 1.0966,                   1.31,                 1.3685,               0.006568,               0.006568,               0.006568
                     28,                 1.0877,                 1.5693,                 1.3721,                0.66924,                0.57764,                0.58177,                0.41956,                 1.0878,                 1.3045,                 1.3633,               0.006436,               0.006436,               0.006436
                     29,                 1.0899,                 1.5649,                 1.3729,                0.67669,                0.57149,                  0.578,                0.41552,                 1.0807,                 1.3037,                 1.3582,               0.006304,               0.006304,               0.006304
                     30,                 1.0829,                 1.5453,                 1.3674,                0.66633,                0.57976,                0.58624,                0.42289,                 1.0782,                 1.2915,                 1.3565,               0.006172,               0.006172,               0.006172
                     31,                 1.0727,                 1.5249,                 1.3598,                 0.6939,                 0.5698,                0.58721,                0.42474,                 1.0636,                 1.2828,                 1.3471,                0.00604,                0.00604,                0.00604
                     32,                 1.0753,                 1.5251,                 1.3624,                0.68956,                0.57986,                0.58996,                0.42733,                 1.0681,                 1.2716,                 1.3497,               0.005908,               0.005908,               0.005908
                     33,                  1.064,                 1.5171,                 1.3579,                0.68603,                0.58954,                0.59431,                0.43061,                 1.0623,                 1.2537,                 1.3477,               0.005776,               0.005776,               0.005776
                     34,                 1.0599,                 1.5042,                 1.3525,                0.69446,                0.58873,                0.59142,                0.42944,                 1.0604,                 1.2536,                 1.3443,               0.005644,               0.005644,               0.005644
                     35,                   1.06,                 1.4961,                 1.3499,                0.69298,                0.59155,                0.59957,                0.43719,                 1.0526,                 1.2447,                 1.3354,               0.005512,               0.005512,               0.005512
                     36,                 1.0579,                 1.4898,                 1.3479,                0.67466,                0.60029,                0.59835,                0.43531,                 1.0513,                 1.2398,                 1.3316,                0.00538,                0.00538,                0.00538
                     37,                 1.0518,                  1.475,                 1.3451,                0.71322,                 0.5794,                0.60191,                0.43923,                 1.0458,                 1.2338,                 1.3311,               0.005248,               0.005248,               0.005248
                     38,                 1.0496,                 1.4749,                 1.3421,                0.69566,                0.59642,                0.60369,                0.44425,                 1.0427,                 1.2271,                 1.3266,               0.005116,               0.005116,               0.005116
                     39,                 1.0396,                 1.4461,                 1.3333,                0.68316,                0.60671,                0.60816,                0.44784,                 1.0381,                  1.217,                 1.3238,               0.004984,               0.004984,               0.004984
                     40,                 1.0385,                 1.4436,                 1.3343,                0.69006,                0.60181,                0.60541,                0.44608,                 1.0382,                  1.212,                 1.3224,               0.004852,               0.004852,               0.004852
                     41,                 1.0278,                  1.418,                 1.3267,                0.69227,                 0.6038,                0.60685,                0.44671,                 1.0363,                 1.2042,                   1.32,                0.00472,                0.00472,                0.00472
                     42,                 1.0221,                 1.4119,                 1.3234,                0.69587,                0.60369,                0.60894,                 0.4477,                 1.0318,                 1.2044,                 1.3173,               0.004588,               0.004588,               0.004588
                     43,                 1.0237,                 1.4192,                 1.3291,                0.70173,                0.60002,                0.60805,                0.44723,                  1.032,                  1.201,                 1.3177,               0.004456,               0.004456,               0.004456
                     44,                 1.0234,                 1.3936,                 1.3188,                0.68916,                0.60944,                0.61222,                0.45038,                 1.0313,                 1.1926,                 1.3165,               0.004324,               0.004324,               0.004324
                     45,                 1.0141,                 1.3922,                 1.3151,                0.69667,                0.61434,                0.61249,                0.45097,                 1.0253,                  1.186,                 1.3101,               0.004192,               0.004192,               0.004192
                     46,                 1.0131,                 1.3877,                 1.3152,                0.70546,                 0.6022,                0.61171,                0.45113,                  1.024,                 1.1872,                 1.3089,                0.00406,                0.00406,                0.00406
                     47,                  1.006,                 1.3676,                 1.3112,                0.70005,                 0.6086,                 0.6143,                0.45445,                 1.0182,                  1.183,                 1.3045,               0.003928,               0.003928,               0.003928
                     48,                 1.0081,                 1.3576,                 1.3099,                 0.6973,                0.61074,                 0.6152,                 0.4557,                 1.0159,                 1.1834,                 1.3029,               0.003796,               0.003796,               0.003796
                     49,                0.99249,                 1.3403,                 1.2991,                  0.709,                0.60659,                 0.6164,                0.45602,                 1.0179,                 1.1805,                 1.3037,               0.003664,               0.003664,               0.003664
                     50,                0.99545,                 1.3409,                 1.3032,                  0.716,                0.60265,                0.61657,                0.45731,                 1.0167,                 1.1733,                 1.3032,               0.003532,               0.003532,               0.003532
                     51,                0.99127,                 1.3366,                 1.2968,                0.70048,                0.61513,                 0.6175,                0.45731,                 1.0213,                 1.1678,                 1.3065,                 0.0034,                 0.0034,                 0.0034
                     52,                0.97915,                 1.3101,                 1.2854,                0.69679,                0.62174,                0.61843,                0.45787,                  1.022,                 1.1642,                 1.3053,               0.003268,               0.003268,               0.003268
                     53,                0.98267,                 1.3102,                  1.291,                0.70438,                0.61317,                0.61896,                0.45939,                 1.0194,                  1.159,                 1.3022,               0.003136,               0.003136,               0.003136
                     54,                0.97901,                 1.3192,                 1.2886,                0.70235,                0.61777,                0.62039,                0.46013,                 1.0175,                  1.159,                 1.2992,               0.003004,               0.003004,               0.003004
                     55,                0.97211,                 1.2932,                 1.2835,                0.70013,                0.61462,                0.61926,                0.45957,                  1.014,                 1.1582,                 1.2968,               0.002872,               0.002872,               0.002872
