                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9817,                 3.1176,                 1.2672,                 0.4648,                0.37995,                0.31156,                0.20432,                 1.0579,                 2.1793,                 1.3084,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.1034,                 2.5937,                 1.3513,                0.41488,                0.31539,                0.26115,                0.16414,                 1.2082,                 2.2951,                 1.4357,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.2383,                  2.762,                 1.4624,                0.29799,                0.22142,                0.14608,                0.08019,                 1.4548,                  2.794,                 1.6667,              0.0097323,              0.0097323,              0.0097323
                      4,                   1.32,                 2.8084,                 1.5301,                 0.3306,                0.25479,                0.18555,                0.10423,                  1.416,                  2.589,                 1.6737,               0.009604,               0.009604,               0.009604
                      5,                 1.2789,                  2.667,                 1.5021,                0.38328,                0.28057,                0.22738,                 0.1361,                  1.344,                 2.4469,                 1.5868,               0.009472,               0.009472,               0.009472
                      6,                  1.245,                 2.5343,                 1.4703,                0.40747,                0.31651,                0.26633,                0.16576,                 1.2458,                 2.2299,                  1.491,                0.00934,                0.00934,                0.00934
                      7,                 1.2218,                 2.4417,                 1.4553,                0.41318,                0.33332,                0.27181,                0.16713,                 1.2803,                  2.214,                  1.519,               0.009208,               0.009208,               0.009208
                      8,                 1.1975,                 2.3843,                 1.4414,                 0.4375,                0.33398,                 0.2831,                0.18339,                 1.2089,                 2.1829,                 1.4638,               0.009076,               0.009076,               0.009076
                      9,                 1.1789,                 2.3226,                  1.427,                0.43134,                 0.3592,                0.30721,                0.20027,                 1.1688,                  2.076,                 1.4195,               0.008944,               0.008944,               0.008944
                     10,                 1.1642,                 2.2828,                 1.4117,                0.43676,                0.36788,                0.30409,                0.19701,                 1.1495,                 2.0526,                 1.3966,               0.008812,               0.008812,               0.008812
                     11,                 1.1494,                 2.2516,                 1.3993,                0.46162,                 0.3777,                0.31655,                0.20868,                 1.1255,                 2.0096,                 1.3739,                0.00868,                0.00868,                0.00868
                     12,                 1.1326,                 2.2157,                 1.3897,                0.48046,                0.36758,                0.31975,                 0.2081,                 1.1372,                 1.9901,                 1.3784,               0.008548,               0.008548,               0.008548
                     13,                 1.1188,                 2.1831,                 1.3793,                0.51375,                0.38649,                0.33836,                0.22602,                 1.1019,                 1.9186,                 1.3546,               0.008416,               0.008416,               0.008416
                     14,                 1.1044,                 2.1526,                 1.3707,                0.49818,                0.39957,                0.34791,                0.23655,                 1.0722,                 1.8859,                 1.3349,               0.008284,               0.008284,               0.008284
                     15,                 1.0994,                 2.1428,                 1.3645,                 0.5047,                0.39864,                0.34841,                0.23651,                 1.0788,                 1.8819,                 1.3385,               0.008152,               0.008152,               0.008152
                     16,                 1.0829,                 2.1182,                 1.3543,                0.50549,                0.40353,                0.35698,                0.24322,                  1.061,                 1.8519,                  1.316,                0.00802,                0.00802,                0.00802
                     17,                 1.0799,                 2.0863,                 1.3504,                0.51358,                0.41135,                0.35755,                0.24538,                  1.049,                 1.8246,                 1.3115,               0.007888,               0.007888,               0.007888
                     18,                 1.0694,                 2.0705,                 1.3397,                0.51605,                 0.4259,                0.36968,                0.25554,                 1.0491,                 1.8096,                 1.3081,               0.007756,               0.007756,               0.007756
                     19,                 1.0629,                 2.0587,                 1.3366,                0.50065,                0.43085,                0.36664,                0.25385,                 1.0491,                  1.794,                 1.3077,               0.007624,               0.007624,               0.007624
                     20,                 1.0573,                 2.0377,                 1.3349,                0.51913,                 0.4289,                0.37198,                0.25953,                 1.0319,                 1.7966,                 1.3013,               0.007492,               0.007492,               0.007492
                     21,                 1.0471,                 2.0215,                 1.3232,                 0.5482,                0.42307,                0.37752,                0.26397,                 1.0202,                 1.7664,                 1.2848,                0.00736,                0.00736,                0.00736
                     22,                 1.0407,                  2.003,                 1.3189,                0.55088,                0.42696,                0.38367,                0.26886,                 1.0165,                  1.754,                 1.2848,               0.007228,               0.007228,               0.007228
                     23,                 1.0298,                 1.9883,                 1.3161,                0.53874,                0.43846,                0.38586,                0.27325,                 1.0007,                 1.7308,                 1.2663,               0.007096,               0.007096,               0.007096
                     24,                 1.0285,                 1.9694,                  1.309,                0.55509,                0.43451,                0.39619,                0.27912,                0.99767,                 1.7161,                 1.2631,               0.006964,               0.006964,               0.006964
                     25,                 1.0158,                 1.9504,                 1.3031,                0.53509,                0.44066,                0.38783,                0.27489,                0.99635,                 1.7199,                 1.2619,               0.006832,               0.006832,               0.006832
                     26,                 1.0231,                 1.9516,                 1.3051,                0.55133,                0.44304,                0.39296,                0.27851,                0.98856,                    1.7,                 1.2558,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.0168,                 1.9394,                 1.2989,                0.53819,                0.45198,                0.39306,                0.27989,                0.98443,                 1.6952,                 1.2473,               0.006568,               0.006568,               0.006568
                     28,                 1.0023,                 1.9322,                 1.2927,                 0.5557,                0.44784,                 0.3954,                0.28526,                0.97605,                 1.6911,                 1.2412,               0.006436,               0.006436,               0.006436
                     29,                 1.0058,                 1.9101,                 1.2934,                0.56278,                0.44828,                0.39675,                0.28347,                0.97495,                 1.6768,                 1.2411,               0.006304,               0.006304,               0.006304
                     30,                0.99817,                 1.9178,                 1.2893,                 0.5668,                0.45067,                0.39883,                0.28581,                0.96616,                 1.6763,                 1.2306,               0.006172,               0.006172,               0.006172
                     31,                0.99331,                 1.8875,                 1.2847,                0.57425,                0.44626,                0.40059,                0.28674,                0.96481,                  1.667,                 1.2332,                0.00604,                0.00604,                0.00604
                     32,                0.99218,                 1.8887,                 1.2856,                0.57311,                0.45391,                0.40738,                0.29113,                0.96935,                 1.6547,                 1.2333,               0.005908,               0.005908,               0.005908
                     33,                0.98042,                 1.8796,                 1.2781,                0.57491,                0.45001,                0.40586,                0.29364,                0.95132,                 1.6527,                 1.2213,               0.005776,               0.005776,               0.005776
                     34,                 0.9759,                 1.8696,                 1.2718,                0.57056,                0.45774,                 0.4075,                0.29481,                0.95215,                  1.647,                 1.2192,               0.005644,               0.005644,               0.005644
                     35,                0.97704,                 1.8603,                  1.272,                0.57576,                0.45905,                0.41454,                0.29983,                0.94716,                 1.6322,                 1.2167,               0.005512,               0.005512,               0.005512
                     36,                 0.9717,                 1.8575,                 1.2673,                0.56825,                0.46206,                0.40859,                0.29661,                0.94389,                 1.6364,                 1.2126,                0.00538,                0.00538,                0.00538
                     37,                0.96526,                 1.8346,                 1.2651,                0.57644,                0.46172,                0.41345,                 0.2996,                0.94029,                 1.6297,                 1.2097,               0.005248,               0.005248,               0.005248
                     38,                 0.9652,                 1.8318,                 1.2642,                0.56738,                0.47198,                0.41694,                0.30262,                0.93998,                 1.6186,                  1.208,               0.005116,               0.005116,               0.005116
                     39,                0.95762,                 1.8154,                 1.2569,                0.56841,                0.46111,                0.41536,                0.30267,                0.93459,                 1.6147,                 1.2076,               0.004984,               0.004984,               0.004984
                     40,                0.95449,                 1.8153,                  1.255,                0.56866,                0.46986,                0.41511,                0.30248,                0.93396,                 1.6094,                  1.207,               0.004852,               0.004852,               0.004852
                     41,                0.94502,                 1.7905,                 1.2489,                0.56764,                0.47057,                0.41805,                0.30496,                0.93101,                 1.6026,                 1.2046,                0.00472,                0.00472,                0.00472
                     42,                 0.9415,                 1.7902,                 1.2465,                0.57521,                0.47178,                0.42102,                0.30806,                0.92581,                 1.6007,                 1.2011,               0.004588,               0.004588,               0.004588
                     43,                 0.9384,                 1.7918,                 1.2486,                0.58647,                0.46864,                0.42233,                0.30853,                0.92805,                 1.5987,                  1.202,               0.004456,               0.004456,               0.004456
                     44,                0.94041,                 1.7803,                 1.2436,                0.56805,                0.47852,                0.42117,                0.30817,                0.92317,                 1.5971,                 1.1977,               0.004324,               0.004324,               0.004324
                     45,                0.93227,                 1.7635,                 1.2371,                0.56968,                0.47957,                 0.4217,                0.30984,                0.92052,                 1.5951,                 1.1939,               0.004192,               0.004192,               0.004192
                     46,                0.92798,                 1.7612,                 1.2369,                0.58261,                0.47073,                 0.4211,                0.30965,                0.91906,                 1.5936,                  1.194,                0.00406,                0.00406,                0.00406
