                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5443,                 2.9786,                 1.6937,                0.49214,                0.47204,                0.43143,                0.19825,                 1.7322,                 1.8598,                 1.9207,              0.0033295,              0.0033295,              0.0033295
                      2,                  1.663,                 2.3863,                 1.7696,                0.41664,                0.37979,                0.31364,                0.13461,                 1.8844,                 2.1289,                 2.0353,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.7472,                 2.6002,                 1.8533,                0.27283,                0.26991,                0.18214,                0.07082,                  2.028,                 2.5452,                 2.2012,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.8108,                 2.6693,                 1.9186,                0.35869,                0.32517,                 0.2573,                0.10561,                 1.9753,                 2.3673,                 2.1489,               0.009604,               0.009604,               0.009604
                      5,                 1.7757,                 2.4843,                 1.9024,                0.40388,                0.35053,                 0.2893,                0.12074,                  1.959,                  2.211,                 2.1391,               0.009472,               0.009472,               0.009472
                      6,                 1.7581,                 2.3618,                 1.8855,                0.42589,                0.36115,                0.31358,                 0.1356,                 1.9313,                 2.1066,                 2.1127,                0.00934,                0.00934,                0.00934
                      7,                 1.7287,                 2.2507,                 1.8575,                0.47015,                0.38368,                 0.3493,                0.15194,                 1.9039,                 1.9934,                 2.0828,               0.009208,               0.009208,               0.009208
                      8,                 1.7173,                 2.1986,                 1.8567,                0.46604,                0.40539,                0.36879,                0.16122,                 1.8849,                 1.9266,                 2.0503,               0.009076,               0.009076,               0.009076
                      9,                 1.7029,                 2.1383,                 1.8423,                0.48691,                0.42834,                 0.3937,                0.17592,                 1.8703,                 1.9074,                 2.0414,               0.008944,               0.008944,               0.008944
                     10,                  1.702,                  2.117,                 1.8396,                0.52265,                0.44003,                0.42627,                0.18878,                 1.8558,                 1.8267,                 2.0481,               0.008812,               0.008812,               0.008812
                     11,                 1.6738,                 2.0555,                 1.8178,                0.50881,                0.45089,                0.41978,                0.19015,                 1.8396,                 1.7868,                 2.0111,                0.00868,                0.00868,                0.00868
                     12,                 1.6671,                 2.0277,                  1.819,                0.55262,                0.45023,                0.43685,                0.20207,                 1.8298,                 1.7487,                 2.0139,               0.008548,               0.008548,               0.008548
                     13,                 1.6462,                 1.9878,                 1.7984,                0.54197,                0.46939,                0.44396,                0.20619,                 1.8215,                 1.7055,                 2.0093,               0.008416,               0.008416,               0.008416
                     14,                 1.6564,                 1.9566,                 1.8085,                0.55377,                0.48465,                0.46131,                 0.2173,                 1.8024,                 1.6901,                 1.9826,               0.008284,               0.008284,               0.008284
                     15,                 1.6522,                 1.9387,                 1.7969,                0.56973,                0.47188,                0.45527,                0.21034,                 1.8305,                 1.6932,                 1.9871,               0.008152,               0.008152,               0.008152
                     16,                 1.6388,                 1.9183,                 1.7914,                0.54847,                0.49914,                 0.4631,                 0.2162,                 1.8039,                 1.6297,                 1.9788,                0.00802,                0.00802,                0.00802
                     17,                 1.6288,                 1.8959,                 1.7808,                0.58548,                0.49125,                0.48199,                 0.2233,                 1.8095,                 1.6127,                 1.9769,               0.007888,               0.007888,               0.007888
                     18,                 1.6221,                 1.8614,                 1.7791,                0.59237,                0.50822,                 0.4881,                0.22971,                 1.7788,                 1.5786,                 1.9575,               0.007756,               0.007756,               0.007756
                     19,                 1.6164,                 1.8496,                 1.7745,                0.58926,                0.50473,                0.49297,                0.23432,                 1.7818,                 1.5624,                 1.9583,               0.007624,               0.007624,               0.007624
                     20,                  1.617,                 1.8293,                 1.7736,                0.60767,                0.50854,                0.50075,                 0.2376,                 1.7636,                 1.5587,                 1.9413,               0.007492,               0.007492,               0.007492
                     21,                 1.6082,                 1.7994,                 1.7649,                0.61155,                0.52158,                0.50927,                0.24442,                 1.7581,                 1.5169,                 1.9434,                0.00736,                0.00736,                0.00736
                     22,                 1.6005,                 1.7791,                 1.7537,                0.62607,                0.51961,                0.51683,                0.24757,                 1.7756,                  1.503,                 1.9566,               0.007228,               0.007228,               0.007228
                     23,                 1.6013,                 1.7819,                 1.7593,                0.65174,                0.50592,                0.51849,                0.24867,                 1.7532,                 1.4872,                 1.9412,               0.007096,               0.007096,               0.007096
                     24,                 1.5951,                 1.7549,                  1.751,                 0.6066,                0.53952,                0.52347,                0.25222,                 1.7513,                 1.4787,                 1.9267,               0.006964,               0.006964,               0.006964
                     25,                 1.5904,                 1.7527,                  1.749,                0.62615,                0.52702,                0.52484,                0.25541,                  1.729,                 1.4643,                 1.9255,               0.006832,               0.006832,               0.006832
                     26,                 1.5815,                 1.7334,                 1.7452,                0.61889,                0.53929,                 0.5306,                0.25642,                 1.7325,                 1.4612,                 1.9172,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.5801,                 1.7214,                 1.7432,                0.61721,                0.54255,                0.53037,                0.25804,                 1.7417,                 1.4251,                 1.9203,               0.006568,               0.006568,               0.006568
                     28,                 1.5744,                 1.7021,                 1.7357,                0.62684,                0.54618,                0.53472,                0.26155,                 1.7296,                  1.425,                 1.9078,               0.006436,               0.006436,               0.006436
                     29,                 1.5669,                 1.6826,                 1.7299,                0.63212,                0.54943,                0.53849,                0.26136,                 1.7343,                 1.4078,                 1.9117,               0.006304,               0.006304,               0.006304
                     30,                 1.5605,                 1.6867,                 1.7242,                0.63078,                0.55859,                0.53833,                0.26562,                 1.7152,                 1.4033,                 1.9011,               0.006172,               0.006172,               0.006172
                     31,                 1.5569,                 1.6641,                 1.7279,                0.64206,                0.55525,                  0.546,                0.26972,                 1.7199,                  1.388,                  1.901,                0.00604,                0.00604,                0.00604
                     32,                 1.5532,                 1.6514,                 1.7228,                0.64484,                0.55601,                0.54394,                0.26815,                 1.7127,                 1.3866,                 1.9009,               0.005908,               0.005908,               0.005908
