                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99671,                 2.6476,                 1.2716,                0.63673,                0.59295,                0.63483,                0.43722,                 1.0099,                 1.4319,                 1.2565,              0.0033295,              0.0033295,              0.0033295
                      2,                    1.1,                 1.9948,                 1.3437,                0.54684,                0.50006,                 0.5098,                0.32651,                 1.1744,                 1.6786,                 1.4191,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.2414,                 2.2058,                 1.4627,                0.34974,                0.28176,                0.22664,                0.11642,                 1.6018,                 2.6672,                 1.9251,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.3218,                 2.2566,                 1.5265,                 0.4413,                0.39158,                0.36631,                0.21445,                 1.3946,                  2.043,                 1.6383,               0.009604,               0.009604,               0.009604
                      5,                 1.2746,                 2.0732,                 1.5047,                0.53662,                0.44492,                0.45347,                0.27188,                 1.2851,                 1.7972,                 1.5241,               0.009472,               0.009472,               0.009472
                      6,                 1.2406,                 1.9352,                 1.4714,                0.54977,                 0.4943,                0.49786,                 0.3159,                 1.2311,                 1.6636,                 1.4901,                0.00934,                0.00934,                0.00934
                      7,                 1.2127,                 1.8299,                 1.4486,                0.59356,                0.48759,                0.51704,                0.33292,                 1.2315,                 1.6037,                 1.4808,               0.009208,               0.009208,               0.009208
                      8,                 1.1846,                 1.7635,                  1.433,                0.58704,                0.51387,                0.53854,                0.34809,                  1.209,                  1.576,                 1.4454,               0.009076,               0.009076,               0.009076
                      9,                 1.1681,                 1.7058,                 1.4183,                0.63365,                0.54049,                0.59006,                0.38897,                 1.1717,                 1.4258,                 1.4183,               0.008944,               0.008944,               0.008944
                     10,                 1.1564,                   1.66,                 1.4134,                0.62191,                 0.5779,                0.61153,                 0.4103,                 1.1487,                 1.3877,                 1.3978,               0.008812,               0.008812,               0.008812
                     11,                 1.1358,                 1.6145,                 1.3949,                0.66462,                0.55862,                0.61606,                0.41987,                 1.1156,                  1.338,                 1.3706,                0.00868,                0.00868,                0.00868
                     12,                 1.1242,                 1.5781,                 1.3908,                0.66212,                 0.5692,                 0.6308,                0.42894,                 1.1037,                 1.3306,                 1.3726,               0.008548,               0.008548,               0.008548
