                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2354,                 4.7994,                 4.0611,                0.00257,                0.23134,                0.00258,                0.00078,                 2.8573,                 4.6444,                 3.7884,              0.0033295,              0.0033295,              0.0033295
                      2,                 2.3339,                 4.0101,                  2.959,                0.21587,                0.06129,                0.02822,                0.01005,                 2.1277,                 3.3735,                  2.779,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.8484,                 3.4868,                 2.3552,                 0.2746,                0.14867,                0.07948,                0.03442,                 1.8836,                 3.0609,                 2.3917,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.7036,                   3.13,                 2.1483,                0.26522,                0.21199,                0.12727,                0.06341,                 1.6913,                 2.8428,                 2.1782,               0.009604,               0.009604,               0.009604
                      5,                 1.6059,                 2.8908,                 2.0249,                0.34522,                0.24444,                0.17659,                0.09451,                 1.6372,                 2.6255,                  2.081,               0.009472,               0.009472,               0.009472
                      6,                 1.5397,                 2.7397,                 1.9472,                0.35238,                0.28093,                0.23185,                0.12914,                 1.5649,                 2.3822,                 2.0041,                0.00934,                0.00934,                0.00934
                      7,                 1.4987,                  2.615,                 1.8976,                0.36816,                0.28851,                0.24735,                0.13906,                 1.5272,                 2.3489,                 1.9479,               0.009208,               0.009208,               0.009208
                      8,                 1.4638,                 2.5199,                 1.8676,                0.35004,                 0.3296,                0.28859,                0.16861,                 1.4731,                 2.2476,                 1.9039,               0.009076,               0.009076,               0.009076
                      9,                 1.4315,                 2.4408,                 1.8297,                0.38059,                0.34723,                0.31876,                0.19077,                 1.4179,                 2.1401,                  1.843,               0.008944,               0.008944,               0.008944
                     10,                 1.4132,                 2.3866,                 1.8118,                0.40978,                0.37667,                0.34016,                0.20336,                 1.3934,                 2.0513,                 1.8113,               0.008812,               0.008812,               0.008812
                     11,                 1.3868,                 2.3204,                  1.784,                0.45104,                0.38342,                0.35678,                0.21445,                 1.3996,                 2.0522,                 1.8131,                0.00868,                0.00868,                0.00868
                     12,                 1.3644,                 2.2632,                 1.7636,                0.46043,                0.40509,                0.38615,                0.23473,                  1.358,                 1.9533,                 1.7642,               0.008548,               0.008548,               0.008548
                     13,                 1.3488,                 2.2261,                 1.7516,                0.51518,                0.39795,                0.40435,                0.24851,                 1.3385,                 1.8856,                 1.7412,               0.008416,               0.008416,               0.008416
                     14,                 1.3361,                 2.1839,                 1.7382,                 0.4551,                0.41961,                0.41241,                0.25964,                  1.324,                 1.8481,                 1.7181,               0.008284,               0.008284,               0.008284
                     15,                 1.3207,                 2.1575,                 1.7256,                0.51229,                0.42701,                0.44196,                 0.2793,                  1.301,                 1.8001,                 1.6983,               0.008152,               0.008152,               0.008152
                     16,                 1.3037,                 2.1049,                 1.7049,                0.52347,                  0.445,                0.46164,                0.29341,                 1.2903,                 1.7369,                 1.6885,                0.00802,                0.00802,                0.00802
                     17,                 1.2933,                  2.084,                  1.692,                0.51317,                0.46168,                0.47127,                0.29977,                 1.2738,                 1.7209,                 1.6736,               0.007888,               0.007888,               0.007888
                     18,                 1.2831,                  2.037,                 1.6829,                0.55166,                0.46012,                0.49412,                0.31589,                 1.2593,                  1.681,                 1.6585,               0.007756,               0.007756,               0.007756
                     19,                 1.2731,                   2.02,                 1.6777,                0.54696,                0.48871,                0.50474,                0.32931,                 1.2315,                 1.6381,                 1.6371,               0.007624,               0.007624,               0.007624
                     20,                 1.2636,                 1.9826,                 1.6642,                0.57084,                0.47309,                0.51029,                0.33029,                 1.2386,                  1.639,                 1.6379,               0.007492,               0.007492,               0.007492
                     21,                 1.2559,                 1.9535,                 1.6542,                0.58574,                0.48764,                 0.5309,                0.34382,                 1.2184,                 1.5811,                 1.6102,                0.00736,                0.00736,                0.00736
                     22,                 1.2448,                 1.9283,                 1.6405,                0.55597,                0.50998,                0.53168,                0.34599,                 1.2143,                 1.5721,                 1.6009,               0.007228,               0.007228,               0.007228
                     23,                 1.2265,                 1.9072,                 1.6255,                0.59455,                 0.5017,                0.54092,                0.36101,                 1.1944,                 1.5418,                 1.5889,               0.007096,               0.007096,               0.007096
                     24,                  1.224,                 1.8821,                 1.6202,                0.60839,                0.50999,                 0.5578,                0.37276,                 1.1846,                 1.5103,                 1.5774,               0.006964,               0.006964,               0.006964
